eq,ltp,lot_size,sp,ce_mid_price,pe_mid_price,max_premium_collection,corpus,premium_percent
ADANIENT,1874.0,250,1880.0,125.55,116.52,60517.5,468500.0,12.92
ADANIPORTS,681.0,625,680.0,20.95,16.62,23481.25,425625.0,5.52
APOLLOHOSP,4345.0,125,4350.0,84.52,79.6,20515.0,543125.0,3.78
ASIANPAINT,2862.25,200,2860.0,52.28,34.67,17390.0,572450.0,3.04
AXISBANK,839.75,1200,840.0,13.85,12.6,31740.0,1007700.0,3.15
BAJAJ-AUTO,3815.0,250,3820.0,42.52,49.25,22942.5,953750.0,2.41
BAJFINANCE,5745.0,125,5700.0,148.6,72.5,27637.5,718125.0,3.85
BAJAJFINSV,1304.0,500,1300.0,29.52,21.92,25720.0,652000.0,3.94
BPCL,351.45,1800,350.0,7.88,5.15,23454.0,632610.0,3.71
BHARTIARTL,756.8,950,760.0,9.25,11.1,19332.5,718960.0,2.69
BRITANNIA,4367.0,200,4350.0,64.18,45.4,21916.0,873400.0,2.51
CIPLA,873.0,650,870.0,19.32,12.85,20910.5,567450.0,3.68
COALINDIA,221.0,4200,220.0,4.53,2.25,28476.0,928200.0,3.07
DIVISLAB,2795.0,150,2800.0,52.0,44.22,14433.0,419250.0,3.44
DRREDDY,4457.0,125,4450.0,64.05,50.08,14266.25,557125.0,2.56
EICHERMOT,2980.0,175,3000.0,53.45,57.8,19468.75,521500.0,3.73
GRASIM,1589.6,475,1580.0,31.92,20.4,24852.0,755060.0,3.29
HCLTECH,1111.9,700,1110.0,17.4,16.17,23499.0,778330.0,3.02
HDFCBANK,1578.65,550,1580.0,25.92,23.92,27412.0,868257.5,3.16
HDFCLIFE,471.95,1100,470.0,12.0,7.65,21615.0,519145.0,4.16
HEROMOTOCO,2361.0,300,2360.0,41.05,31.55,21780.0,708300.0,3.07
HINDALCO,396.25,1400,400.0,8.35,10.28,26082.0,554750.0,4.7
HINDUNILVR,2454.95,300,2460.0,31.65,30.28,18579.0,736485.0,2.52
HDFC,2577.45,300,2580.0,46.52,37.12,25092.0,773235.0,3.25
ICICIBANK,838.0,700,840.0,12.85,12.78,17941.0,586600.0,3.06
ITC,376.45,1600,377.5,5.38,4.65,16048.0,602320.0,2.66
INDUSINDBK,1019.85,450,1020.0,32.08,24.62,25515.0,458932.5,5.56
INFY,1423.65,400,1420.0,30.2,18.38,19432.0,569460.0,3.41
JSWSTEEL,677.9,1350,680.0,12.5,13.22,34722.0,915165.0,3.79
KOTAKBANK,1694.0,400,1700.0,24.5,23.85,19340.0,677600.0,2.85
LT,2194.15,300,2200.0,36.35,29.72,19821.0,658245.0,3.01
M&M,1171.4,700,1180.0,18.77,21.62,28273.0,819980.0,3.45
MARUTI,8310.0,100,8300.0,161.3,110.45,27175.0,831000.0,3.27
NTPC,176.4,5700,175.75,2.88,1.12,22800.0,1005480.0,2.27
NESTLEIND,18869.4,40,18750.0,330.12,197.88,21120.0,754776.0,2.8
ONGC,153.0,3850,152.5,2.92,1.7,17787.0,589050.0,3.02
POWERGRID,229.4,2700,230.0,4.12,3.5,20574.0,619380.0,3.32
RELIANCE,2224.4,250,2220.0,49.75,33.2,20737.5,556100.0,3.73
SBILIFE,1074.0,750,1080.0,17.75,19.55,27975.0,805500.0,3.47
SBIN,531.0,1500,530.0,10.4,7.85,27375.0,796500.0,3.44
SUNPHARMA,957.1,700,960.0,14.18,11.73,18137.0,669970.0,2.71
TCS,3175.0,175,3180.0,58.02,45.85,18177.25,555625.0,3.27
TATACONSUM,708.0,900,710.0,8.93,10.62,17595.0,637200.0,2.76
TATAMOTORS,419.0,1425,420.0,8.18,6.92,21517.5,597075.0,3.6
TATASTEEL,107.15,5500,107.0,2.68,1.95,25465.0,589325.0,4.32
TECHM,1127.0,600,1130.0,18.4,19.95,23010.0,676200.0,3.4
TITAN,2460.0,375,2480.0,30.65,43.25,27712.5,922500.0,3.0
UPL,714.0,1300,710.0,15.62,8.3,31096.0,928200.0,3.35
ULTRACEMCO,7295.0,100,7300.0,127.52,113.6,24112.0,729500.0,3.31
WIPRO,376.85,1500,375.0,7.5,4.7,18300.0,565275.0,3.24
